feature,importance
gen_first_latency_h,19829.0
te_prop_country_is_vol,15848.399999999998
te_prop_country_is_churned,15737.8
te_prop_country_is_invol,15103.2
prop_day,14782.599999999999
gen_span_hours,13820.4
plan_x_engagement,13402.6
vol_risk,12700.8
gen_duration_mean,12462.599999999999
gen_credit_mean,11347.8
gen_activity_slope,11196.0
gen_duration_std,11188.2
gen_per_active_day,10863.4
gen_credit_std,10840.600000000002
gen_video_ratio,10820.6
ta_card_country,10488.199999999999
prop_country,10417.4
te_q_source_is_invol,9861.8
ta_bank_country,9832.2
engagement,9778.8
te_q_first_feature_is_invol,9527.800000000001
gen_completion_rate,9343.4
gen_activity_cliff,9173.6
te_q_first_feature_is_vol,8948.199999999999
gen_fail_rate,8846.4
te_q_first_feature_is_churned,8611.0
gen_q1_compl,8544.4
gen_duration_sum,8453.199999999999
te_q_source_is_vol,8385.6
gen_q1_count,8295.0
gen_q1_credits,8124.400000000001
te_q_source_is_churned,8093.2
gen_nsfw_rate,8007.999999999999
gen_max_in_day,7940.6
gen_compl_trend,7219.799999999999
te_q_frustration_is_churned,7027.200000000001
prop_dow,7021.2
te_prop_plan_is_invol,6974.999999999999
te_q_frustration_is_vol,6966.399999999999
gen_image_count,6949.599999999999
gen_credit_vel_ratio,6902.0
gen_credit_total,6816.2
te_prop_plan_is_vol,6796.200000000001
gen_credit_early,6693.4
te_q_frustration_is_invol,6652.0
gen_early_count,6637.4
gen_video_count,6630.200000000001
te_prop_plan_is_churned,6610.599999999999
gen_duration_max,6594.0
gen_credit_max,6562.0
gen_q2_count,6270.6
gen_last3_frac,5748.6
gen_types_unique,5588.2
ta_amount_total,5575.799999999999
gen_completed,5433.8
gen_cancel_rate,5324.8
gen_q2_compl,5262.199999999999
q_source,5175.0
gen_front_ratio,5044.2
gen_back_ratio,5007.6
te_q_usage_plan_is_vol,5000.0
gen_q3_count,4835.799999999999
gen_total,4815.2
gen_q3_compl,4666.0
invol_risk,4597.6
gen_q2_credits,4585.6
ta_card_brand,4331.8
gen_late_count,4312.799999999999
gen_nsfw,4267.6
q_first_feature,4211.4
te_q_usage_plan_is_churned,4176.400000000001
gen_failed,4115.6
te_q_usage_plan_is_invol,4087.4
gen_q4_compl,3989.2
gen_credit_late,3985.7999999999997
gen_q3_credits,3940.4
ta_amount_mean,3879.0
te_q_role_is_invol,3684.2
gen_peak_day,3513.8
q_frustration,3500.4
gen_q4_credits,3462.8
prop_month,3355.6000000000004
gen_days_active,3206.0
ta_card_funding,3139.6
gen_q4_count,3046.4
purch_total,2983.2
te_q_role_is_churned,2983.0
te_q_role_is_vol,2978.2000000000003
purch_mean,2897.8
ta_amount_max,2383.2
q_team_size,2377.6
q_usage_plan,2273.0
q_experience,2143.6
gen_canceled,2111.4
gen_last3_count,2000.0
ta_cvc_pass,1795.4
q_role,1658.6
ta_total,1528.0
ta_fail_rate,1455.2
ta_is_business,1420.4
ta_max_retries,1209.8
ta_ctry_mismatch,1097.6
purch_count,890.2
prop_plan,868.4
prop_tier,864.6
ta_is_virtual,803.4000000000001
ta_is_3ds,703.0
ta_card_declined,685.6000000000001
ta_failed_count,609.4000000000001
purch_credit_packs,587.6
ta_3ds_auth,551.4
ta_is_prepaid,500.0
ta_max_consec_fail,384.4
qf_limited,354.8
ta_last_failed,298.4
purch_types,280.6
qf_prompt,245.4
gen_video_credit_ratio,225.00000000000003
qf_cost,202.60000000000002
ta_cvc_fail,157.6
ta_success_count,138.0
qf_other,94.4
qf_incon,64.4
ta_expired,47.8
q_flow_type,22.4
ta_auth_req,9.4
has_tx,5.0
ta_payment_method,4.8
has_purch,1.0
has_gen,0.8
